REG,VP,FORMAT,STOREID,STORENAME,Month,BO_FY25_KB,BO_FY25,YearMonth
BKK 1,OPT 01 Suchin,Hyper,111101,Wongsawang,JAN,492.5028535,492502.8535,202501
BKK 1,OPT 01 Suchin,Hyper,111102,Chaengwattana 1,JAN,7593.33406,7593334.06,202501
BKK 1,OPT 01 Suchin,Hyper,111107,Nakornpathom,JAN,10912.89059,10912890.59,202501
BKK 1,OPT 01 Suchin,Hyper,111114,Rattanatibeth 1,JAN,4705.553577,4705553.577,202501
BKK 1,OPT 01 Suchin,Hyper,111116,Rama2,JAN,12358.47419,12358474.19,202501
BKK 1,OPT 01 Suchin,Hyper,111128,Suksawat,JAN,3076.076374,3076076.374,202501
BKK 1,OPT 01 Suchin,Hyper,111132,Daokanong,JAN,5361.618654,5361618.654,202501
BKK 1,OPT 01 Suchin,Hyper,111133,Tiwanon,JAN,3855.105102,3855105.102,202501
BKK 1,OPT 01 Suchin,Hyper,111141,Aomyai,JAN,2455.857605,2455857.605,202501
BKK 1,OPT 01 Suchin,Hyper,111142,Phetchakasem 1,JAN,0,0,202501
BKK 1,OPT 01 Suchin,Hyper,111179,Phetchakasem 2,JAN,5081.593051,5081593.051,202501
BKK 1,OPT 01 Suchin,Hyper,111183,Bangyai,JAN,5640.063881,5640063.881,202501
BKK 1,OPT 01 Suchin,Hyper,111185,Chaengwattana 2,JAN,16485.37779,16485377.79,202501
BKK 1,OPT 01 Suchin,Hyper,111189,Rattanatibeth 2,JAN,1659.271659,1659271.659,202501
BKK 1,OPT 01 Suchin,Hyper,111195,Bangbon,JAN,2332.114462,2332114.462,202501
BKK 1,OPT 01 Suchin,Hyper,111196,Bangpakok,JAN,2515.088021,2515088.021,202501
BKK 1,OPT 01 Suchin,Hyper,111197,Rama2_2,JAN,1040.782567,1040782.567,202501
BKK 1,OPT 01 Suchin,Hyper,111199,Issaraphap,JAN,4559.021827,4559021.827,202501
BKK 1,OPT 01 Suchin,Hyper,111228,Kanlapaphruek,JAN,1257.80262,1257802.62,202501
BKK 1,OPT 01 Suchin,Hyper,111239,Pathum thani,JAN,1530.996504,1530996.504,202501
BKK 1,OPT 01 Suchin,Hyper,111263,Sai Noi,JAN,3900.657203,3900657.203,202501
BKK 1,OPT 01 Suchin,BMK,151057,Phutthamothon Sai 5,JAN,566.0898073,566089.8073,202501
BKK 1,OPT 01 Suchin,BMK,151060,Panthai Norasing,JAN,438.863182,438863.182,202501
BKK 1,OPT 01 Suchin,BMK,151063,Wat Lat Pladuk,JAN,953.8897877,953889.7877,202501
BKK 1,OPT 01 Suchin,FP,151067,Gateway Bang Po (Bang Sue),JAN,0,0,202501
BKK 1,OPT 01 Suchin,FP,151069,Tha IT,JAN,0,0,202501
BKK 1,OPT 01 Suchin,FP,151007,Pracha uthit,JAN,18.6492178,18649.2178,202501
BKK 1,OPT 01 Suchin,FP,151072,Pantip Ngamwongwan ,JAN,0,0,202501
BKK 2,OPT 02 Natsarin,Hyper,111108,Rangsit 1,JAN,5115.035068,5115035.068,202501
BKK 2,OPT 02 Natsarin,Hyper,111122,Huamark,JAN,3112.487032,3112487.032,202501
BKK 2,OPT 02 Natsarin,Hyper,111125,Don Mueang,JAN,2453.245291,2453245.291,202501
BKK 2,OPT 02 Natsarin,Hyper,111126,Fashion Island,JAN,3472.33148,3472331.48,202501
BKK 2,OPT 02 Natsarin,Hyper,111130,Bangna,JAN,2247.00858,2247008.58,202501
BKK 2,OPT 02 Natsarin,Hyper,111131,Ladphrao 1,JAN,420.9207606,420920.7606,202501
BKK 2,OPT 02 Natsarin,Hyper,111136,Saphankwai,JAN,4006.383919,4006383.919,202501
BKK 2,OPT 02 Natsarin,Hyper,111144,Ekkamai,JAN,253.1249123,253124.9123,202501
BKK 2,OPT 02 Natsarin,Hyper,111148,Lumlukka 1,JAN,849.6279646,849627.9646,202501
BKK 2,OPT 02 Natsarin,Hyper,111161,Navanakorn JUMBO,JAN,2474.276793,2474276.793,202501
BKK 2,OPT 02 Natsarin,Hyper,111162,Rangsit  Klong 6,JAN,3072.026612,3072026.612,202501
BKK 2,OPT 02 Natsarin,Hyper,111174,Ladphrao 2,JAN,281.0423371,281042.3371,202501
BKK 2,OPT 02 Natsarin,Hyper,111178,Srinakarin,JAN,1067.926799,1067926.799,202501
BKK 2,OPT 02 Natsarin,Hyper,111180,Ramintra,JAN,3385.925459,3385925.459,202501
BKK 2,OPT 02 Natsarin,Hyper,111182,Onnuch,JAN,553.2227948,553222.7948,202501
BKK 2,OPT 02 Natsarin,Hyper,111190,Rama 4,JAN,1233.304043,1233304.043,202501
BKK 2,OPT 02 Natsarin,Hyper,111191,Ratchada,JAN,651.3227975,651322.7975,202501
BKK 2,OPT 02 Natsarin,Hyper,111193,Lumlukka 2,JAN,1993.872007,1993872.007,202501
BKK 2,OPT 02 Natsarin,Hyper,111198,Rangsit Klong 3,JAN,422.2966161,422296.6161,202501
BKK 2,OPT 02 Natsarin,BMK,151017,Khubon,JAN,198.7489049,198748.9049,202501
BKK 2,OPT 02 Natsarin,FP,151004,Sukhaphiban 5,JAN,0,0,202501
BKK 2,OPT 02 Natsarin,FP,151068,Samyan Mitrown,JAN,16.82411573,16824.11573,202501
BKK 2,OPT 02 Natsarin,FP,151006,Suanluang,JAN,0,0,202501
BKK 2,OPT 02 Natsarin,FP,151003,Saimai,JAN,40.28561567,40285.61567,202501
BKK 2,OPT 02 Natsarin,FP,151096,Asiatique ,JAN,0,0,202501
BKK 2,OPT 02 Natsarin,FP,151097,Jazz Ramintra,JAN,0,0,202501
BKK 2,OPT 02 Natsarin,FP,151102,The One Bangkok,JAN,0,0,202501
BKK 2,OPT 02 Natsarin,FP,151098,The Old Siam,JAN,0,0,202501
EAST,OPT 03 Walaiporn,Hyper,111104,Pattaya 1,JAN,1709.24697,1709246.97,202501
EAST,OPT 03 Walaiporn,Hyper,111106,Bangplee,JAN,6694.17938,6694179.38,202501
EAST,OPT 03 Walaiporn,Hyper,111115,Rayong,JAN,1857.477321,1857477.321,202501
EAST,OPT 03 Walaiporn,Hyper,111123,Samutprakran,JAN,2171.835524,2171835.524,202501
EAST,OPT 03 Walaiporn,Hyper,141001,JBO Samrong,JAN,2411.31197,2411311.97,202501
EAST,OPT 03 Walaiporn,Hyper,111134,Pattaya 2 Horeca,JAN,2199.781975,2199781.975,202501
EAST,OPT 03 Walaiporn,Hyper,111138,Samrong 1,JAN,2902.122091,2902122.091,202501
EAST,OPT 03 Walaiporn,Hyper,111143,Sukhapiban3_1,JAN,623.3768091,623376.8091,202501
EAST,OPT 03 Walaiporn,Hyper,111152,Chonburi  1,JAN,407.8014841,407801.4841,202501
EAST,OPT 03 Walaiporn,Hyper,111170,Laemthong,JAN,1926.303472,1926303.472,202501
EAST,OPT 03 Walaiporn,Hyper,111175,Chonburi CPN,JAN,744.8116424,744811.6424,202501
EAST,OPT 03 Walaiporn,Hyper,111181,Chonburi 2,JAN,656.4139556,656413.9556,202501
EAST,OPT 03 Walaiporn,Hyper,111192,Pattaya 3,JAN,196.2527987,196252.7987,202501
EAST,OPT 03 Walaiporn,Hyper,111200,Suwingtawong,JAN,5674.632172,5674632.172,202501
EAST,OPT 03 Walaiporn,Hyper,111201,Nongchok,JAN,724.8883185,724888.3185,202501
EAST,OPT 03 Walaiporn,Hyper,111202,Romklao,JAN,3094.201645,3094201.645,202501
