SITE_NO,SITE_ID,BU,SITE_NAME,REG,VP_DISTRICT,SITE_FULLNAME,YearMonth,RFID,SALE_TARGET,CLUSTER,LAT,LNG,CHANNEL
0,0,HYP,Bangbor (Samutprakarn),,,0-Bangbor (Samutprakarn),202601,2026010,0,,,,B2B
0,0,HYP,Bangbor (Samutprakarn),,,0-Bangbor (Samutprakarn),202601,2026010,0,,,,PJS
0,0,BMK,Boonchareon,,,0-Boonchareon,202601,2026010,0,,,,B2B
0,0,BMK,Boonchareon,,,0-Boonchareon,202601,2026010,0,,,,PJS
0,0,Foodplace,Chiangmai (Lannatique),,,0-Chiangmai (Lannatique),202601,2026010,0,,,,B2B
0,0,BMK,Ekkachai,,,0-Ekkachai,202601,2026010,0,,,,B2B
0,0,BMK,Ekkachai,,,0-Ekkachai,202601,2026010,0,,,,PJS
0,0,HYP,Khonkan ทางรถไฟ,,,0-Khonkan ทางรถไฟ,202601,2026010,0,,,,B2B
0,0,HYP,Khonkan ทางรถไฟ,,,0-Khonkan ทางรถไฟ,202601,2026010,0,,,,PJS
0,0,HYP,Korat,,,0-Korat,202601,2026010,0,,,,B2B
0,0,HYP,Korat,,,0-Korat,202601,2026010,0,,,,PJS
0,0,HYP,Ladkrabang,,,0-Ladkrabang,202601,2026010,0,,,,B2B
0,0,HYP,Ladkrabang,,,0-Ladkrabang,202601,2026010,0,,,,PJS
0,0,HYP,"Masod, Tak",,,"0-Masod, Tak",202601,2026010,0,,,,B2B
0,0,HYP,"Masod, Tak",,,"0-Masod, Tak",202601,2026010,0,,,,PJS
0,0,Foodplace,PARC Bangna,,,0-PARC Bangna,202601,2026010,0,,,,B2B
0,0,Foodplace,PARC Bangna,,,0-PARC Bangna,202601,2026010,0,,,,PJS
0,0,BMK,Petchpaiboon ,,,0-Petchpaiboon ,202601,2026010,0,,,,B2B
0,0,BMK,Petchpaiboon ,,,0-Petchpaiboon ,202601,2026010,0,,,,PJS
0,0,BMK,Sannambinnam,,,0-Sannambinnam,202601,2026010,0,,,,B2B
0,0,BMK,Sannambinnam,,,0-Sannambinnam,202601,2026010,0,,,,PJS
0,0,Foodplace,Udomsuk ,,,0-Udomsuk ,202601,2026010,0,,,,B2B
0,0,Foodplace,Udomsuk ,,,0-Udomsuk ,202601,2026010,0,,,,PJS
0,0,Foodplace,Uthaithani,,,0-Uthaithani,202601,2026010,0,,,,B2B
0,0,Foodplace,Uthaithani,,,0-Uthaithani,202601,2026010,0,,,,PJS
0,0,Foodplace,Yaowarat ,,,0-Yaowarat ,202601,2026010,0,,,,B2B
0,0,Foodplace,Yaowarat ,,,0-Yaowarat ,202601,2026010,0,,,,PJS
0,0,HYP,Bangbor (Samutprakarn),,,0-Bangbor (Samutprakarn),202602,2026020,0,,,,B2B
0,0,HYP,Bangbor (Samutprakarn),,,0-Bangbor (Samutprakarn),202602,2026020,0,,,,PJS
0,0,BMK,Boonchareon,,,0-Boonchareon,202602,2026020,0,,,,B2B
0,0,BMK,Boonchareon,,,0-Boonchareon,202602,2026020,0,,,,PJS
0,0,Foodplace,Chiangmai (Lannatique),,,0-Chiangmai (Lannatique),202602,2026020,0,,,,B2B
0,0,Foodplace,Chiangmai (Lannatique),,,0-Chiangmai (Lannatique),202602,2026020,0,,,,PJS
0,0,Foodplace,Chiangmai (Lannatique),,,0-Chiangmai (Lannatique),202602,2026020,0,,,,PJS
0,0,BMK,Ekkachai,,,0-Ekkachai,202602,2026020,0,,,,B2B
0,0,BMK,Ekkachai,,,0-Ekkachai,202602,2026020,0,,,,PJS
0,0,HYP,Khonkan ทางรถไฟ,,,0-Khonkan ทางรถไฟ,202602,2026020,0,,,,B2B
0,0,HYP,Khonkan ทางรถไฟ,,,0-Khonkan ทางรถไฟ,202602,2026020,0,,,,PJS
0,0,HYP,Korat,,,0-Korat,202602,2026020,0,,,,B2B
0,0,HYP,Korat,,,0-Korat,202602,2026020,0,,,,PJS
0,0,HYP,Ladkrabang,,,0-Ladkrabang,202602,2026020,0,,,,B2B
0,0,HYP,Ladkrabang,,,0-Ladkrabang,202602,2026020,0,,,,PJS
0,0,HYP,"Masod, Tak",,,"0-Masod, Tak",202602,2026020,0,,,,B2B
0,0,HYP,"Masod, Tak",,,"0-Masod, Tak",202602,2026020,0,,,,PJS
0,0,Foodplace,PARC Bangna,,,0-PARC Bangna,202602,2026020,0,,,,B2B
0,0,Foodplace,PARC Bangna,,,0-PARC Bangna,202602,2026020,0,,,,PJS
0,0,BMK,Petchpaiboon ,,,0-Petchpaiboon ,202602,2026020,0,,,,B2B
0,0,BMK,Petchpaiboon ,,,0-Petchpaiboon ,202602,2026020,0,,,,PJS
0,0,BMK,Sannambinnam,,,0-Sannambinnam,202602,2026020,0,,,,B2B
0,0,BMK,Sannambinnam,,,0-Sannambinnam,202602,2026020,0,,,,PJS
0,0,Foodplace,Udomsuk ,,,0-Udomsuk ,202602,2026020,0,,,,B2B
0,0,Foodplace,Udomsuk ,,,0-Udomsuk ,202602,2026020,0,,,,PJS
0,0,Foodplace,Uthaithani,,,0-Uthaithani,202602,2026020,0,,,,B2B
0,0,Foodplace,Uthaithani,,,0-Uthaithani,202602,2026020,0,,,,PJS
0,0,Foodplace,Yaowarat ,,,0-Yaowarat ,202602,2026020,0,,,,B2B
0,0,Foodplace,Yaowarat ,,,0-Yaowarat ,202602,2026020,0,,,,PJS
0,0,HYP,Bangbor (Samutprakarn),,,0-Bangbor (Samutprakarn),202603,2026030,0,,,,B2B
0,0,HYP,Bangbor (Samutprakarn),,,0-Bangbor (Samutprakarn),202603,2026030,0,,,,PJS
0,0,BMK,Boonchareon,,,0-Boonchareon,202603,2026030,0,,,,B2B
0,0,BMK,Boonchareon,,,0-Boonchareon,202603,2026030,0,,,,PJS
0,0,Foodplace,Chiangmai (Lannatique),,,0-Chiangmai (Lannatique),202603,2026030,0,,,,B2B
0,0,Foodplace,Chiangmai (Lannatique),,,0-Chiangmai (Lannatique),202603,2026030,0,,,,PJS
0,0,BMK,Ekkachai,,,0-Ekkachai,202603,2026030,0,,,,B2B
0,0,BMK,Ekkachai,,,0-Ekkachai,202603,2026030,0,,,,PJS
0,0,HYP,Khonkan ทางรถไฟ,,,0-Khonkan ทางรถไฟ,202603,2026030,0,,,,B2B
0,0,HYP,Khonkan ทางรถไฟ,,,0-Khonkan ทางรถไฟ,202603,2026030,0,,,,PJS
0,0,HYP,Korat,,,0-Korat,202603,2026030,0,,,,B2B
0,0,HYP,Korat,,,0-Korat,202603,2026030,0,,,,PJS
0,0,HYP,Ladkrabang,,,0-Ladkrabang,202603,2026030,0,,,,B2B
