Site - Key (orig),Site (Orig),sitecode,sitename
T001,เบทาโกรเดลี่ สาขาสำนักงานใหญ่,T001,เบทาโกรเดลี่ สาขาสำนักงานใหญ่
TC01,เบทาโกรเดลี่ สาขาสำนักงานใหญ่,T001,เบทาโกรเดลี่ สาขาสำนักงานใหญ่
T002,เบทาโกรเดลี่ สาขาศูนย์ราชการ,T002,เบทาโกรเดลี่ สาขาศูนย์ราชการ
T003,เบทาโกรเดลี่ สาขาอาคารซันทาวเว,T003,เบทาโกรเดลี่ สาขาอาคารซันทาวเว
T005,เบทาโกรเดลี่ สาขา SCB Park,T005,เบทาโกรเดลี่ สาขา SCB Park
T006,เบทาโกรเดลี่ สาขาเมืองไทยภัทร,T006,เบทาโกรเดลี่ สาขาเมืองไทยภัทร
T007,เบทาโกรเดลี่ สาขา EnCo,T007,เบทาโกรเดลี่ สาขา EnCo
T008,เบทาโกรเดลี่ สาขาชาญอิสสระ 2,T008,เบทาโกรเดลี่ สาขาชาญอิสสระ 2
T009,เบทาโกรเดลี่ สาขาอื้อจือเหลียง,T009,เบทาโกรเดลี่ สาขาอื้อจือเหลียง
T010,เบทาโกรเดลี่ สาขาไทยซัมมิท,T010,เบทาโกรเดลี่ สาขาไทยซัมมิท
T011,เบทาโกรเดลี่ สาขาอาคารชับบ์,T011,เบทาโกรเดลี่ สาขาอาคารชับบ์
T012,เบทาโกรเดลี่ สาขา ธนภูมิ,T012,เบทาโกรเดลี่ สาขา ธนภูมิ
T013,เบทาโกรเดลี่ สาขา สาธรธานี,T013,เบทาโกรเดลี่ สาขา สาธรธานี
T014,เบทาโกรเดลี่ สาขา สินธร,T014,เบทาโกรเดลี่ สาขา สินธร
T016,เบทาโกรเดลี่ สาขาสิรินรัตน์,T016,เบทาโกรเดลี่ สาขาสิรินรัตน์
T017,เบทาโกรเดลี่ สาขาอิตัลไทย,T017,เบทาโกรเดลี่ สาขาอิตัลไทย
T018,เบทาโกรเดลี่ สาขา รพ.รามา,T018,เบทาโกรเดลี่ สาขา รพ.รามา
T019,เบทาโกรเดลี่ สาขา MRT เพชรบุรี,T019,เบทาโกรเดลี่ สาขา MRT เพชรบุรี
T020,เบทาโกรเดลี่ สาขา MRT RAMA9,T020,เบทาโกรเดลี่ สาขา MRT RAMA9
T021,เบทาโกร เดลี่ สาขาทิปโก้,T021,เบทาโกร เดลี่ สาขาทิปโก้
T022,เบทาโกรเดลี่ สาขาอาคารชินวัตร3,T022,เบทาโกรเดลี่ สาขาอาคารชินวัตร3
T023,เบทาโกรเดลี่ สาขาอาคารทันตกรรม,T023,เบทาโกรเดลี่ สาขาอาคารทันตกรรม
T024,เบทาโกรเดลี่ สาขา MRT จตุจักร,T024,เบทาโกรเดลี่ สาขา MRT จตุจักร
T025,เบทาโกรเดลี่ สาขา อาคารอินเตอร,T025,เบทาโกรเดลี่ สาขา อาคารอินเตอร
T026,เบทาโกรเดลี่ สาขา BTS ชิดลม,T026,เบทาโกรเดลี่ สาขา BTS ชิดลม
T029,เบทาโกร เดลี่ สาขา ชินวัตร 2,T029,เบทาโกร เดลี่ สาขา ชินวัตร 2
