department,Sum of sum,division,division_e,division_ee
0120 HOME ENTERTAIN,76328678.79,01 HARD LINE,01 HARD LINE,01 HARD LINE (HOME ENTERTAIN)
0112 MAJOR APPLIANCE,43847191.85,01 HARD LINE,01 HARD LINE,01 HARD LINE (MOJOR APPLIANCE)
0160 MOBILE AND IT,18567593.81,01 HARD LINE,01 HARD LINE,01 HARD LINE (OTHERS)
0180 B2B SERVICE,11201603.28,01 HARD LINE,01 HARD LINE,01 HARD LINE (OTHERS)
0170 MOBILE AND CAMERA,149495.33,01 HARD LINE,01 HARD LINE,01 HARD LINE (OTHERS)
0130 SERVICE,13602.7,01 HARD LINE,01 HARD LINE,01 HARD LINE (OTHERS)
0110 SMALL APPLIANCE,33077659.98,01 HARD LINE,01 HARD LINE,01 HARD LINE (SMALL APPLIANCE)
0210 HOUSEWARE,46476232.46,02 HOME LINE,02 HOME LINE,02 HOME LINE (HOUSEWARE)
0230 RECREATION,8432672.06,02 HOME LINE,02 HOME LINE,02 HOME LINE (OTHERS)
0220 HOME DECOR,7875170.93,02 HOME LINE,02 HOME LINE,02 HOME LINE (OTHERS)
0240 HOME IMPROVEMEN,3752276.81,02 HOME LINE,02 HOME LINE,02 HOME LINE (OTHERS)
0290 PACKAGING,188208.76,02 HOME LINE,02 HOME LINE,02 HOME LINE (OTHERS)
0270 SPECIAL PREMIUM,337.33,02 HOME LINE,02 HOME LINE,02 HOME LINE (OTHERS)
0260 SERVICE,0.23,02 HOME LINE,02 HOME LINE,02 HOME LINE (OTHERS)
0250 STATIONERY & EDUTAINMENT,61197580.62,02 HOME LINE,02 HOME LINE,02 HOME LINE (STATIONERY)
0340 BABY ACCESSORIES,6555067.36,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (BABY ACESSORIES)
0350 FOOTWEAR,1465850.04,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (FOOTWARE)
0380 CHILDREN,1494410.34,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0310 LADIES,752303.93,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0322 MEN ESSENTIAL,687702.5,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0314 LADIES ESSENTIAL,601650.18,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0320 MEN'S,563075.38,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0320 MEN'S APPAREL,505991.61,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0380 CHILDERN'S,502786.57,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0312 LADIES ACCESSORIES,359449.73,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0370 PERSONAL CARE,294550.82,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0310 LADIES APPAREL,40046.93,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0380 CHILDERN,19048.6,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0391 PREMIUM SL,6953.88,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0380 CHILDERN'S ,1844.85,03 SOFT LINE,03 SOFT LINE,03 SOFT LINE (OTHERS)
0440 BEVERAGE,5523814594,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (BEVERAGE)
0461 FACE & COSMETICS,98641439.11,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (FACE & COSMETICS)
0460 HBA,4182363133,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (HBA)
0470 HOUSEHOLD,2025430973,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (HOUSEHOLD)
0420 SWEETED GROCE.2,748898935.1,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0471 HOUSEHOLD_WHSL,140318622.1,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0421 SWEETED GROCE.2_WHSL,85604743.16,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0480 PETS,26623047.9,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0431 SALTED GROCERY_WHSL,26333210.79,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0441 BEVERAGE_WHSL,5056301.71,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0496 SPECIAL PROJECT,5005559.06,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0411 SWEETED GROCE.1_WHSL,4490628.94,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0462 HBA_WHSL,1645699.99,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0422 SWEETED GROCE.2_SME,17543.29,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0442 BEVERAGE_SME,14759.81,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0432 SALTED GROCERY_SME,9065.42,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0474 BAS DF_SME,657.02,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (OTHERS)
0472 PAPER,1025322621,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (PAPER)
0430 SALTED GROCERY,2955151884,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (SALTED GROCERY)
0410 SWEETED GROCE.1,6104839107,04 DRY FOOD,04 DRY FOOD,04 DRY FOOD (SWEETED GROCE.1)
0450 LIQUOR,2472609209,04 DRY FOOD,04 LIQUOR,04 LIQUOR
0490 TOBACCO,5125167122,04 DRY FOOD,04 TOBACCO,04 TOBACCO
0550 BAKERY,66764847.77,05 FRESH FOOD,05 FRESH FOOD,05 FRESH FOOD (BAKERY)
0510 BUTCHERY,38931228.01,05 FRESH FOOD,05 FRESH FOOD,05 FRESH FOOD (BUTCHERY)
