GOLDCODE,Store Full Name,Region,Province,Post Code,Lat,Long,Area HRBP,DM Area,OSX HUB,DJD,SPO_HUB,SHOPEEMART,HL HUB,Express,VP DISTRICT,BU_1,SPOHUB,OSXHUB,ON DEMAND
11101,Wongsawang,BANGKOK,Bangkok,10800,13.826771,100.528175,BKK1,BKK2,N,N,N,Y,N,Y,01. BKK1,HYPERMARKET,NONHUB,NONHUB,Y
11104,Pattaya 1,EASTERN,Chon Buri,20150,12.945867,100.89094,East,East,N,N,N,N,N,Y,03. East,HYPERMARKET,NONHUB,NONHUB,N
11106,Bangplee,BANGKOK,Samut Prakan,10540,13.603114,100.70772,BKK4,BKK1,Y,N,Y,Y,N,Y,02. BKK4,HYPERMARKET,SPO_HUB,SPO HUB,Y
11107,Nakornpathom,BANGKOK,Nakhon Pathom,73000,13.812542,100.07247,BKK1,West,N,N,N,N,N,Y,01. BKK1,HYPERMARKET,NONHUB,NONHUB,Y
11108,Rangsit 1,BANGKOK,Pathum Thani,12130,13.990949,100.61839,BKK4,BKK2,N,N,N,N,N,Y,02. BKK4,HYPERMARKET,NONHUB,NONHUB,Y
11109,Udonthani 1,NORTHEAST,Udon Thani,41000,17.386686,102.82454,NE1,NE1,Y,N,Y,Y,N,Y,05. NE1,HYPERMARKET,SPO_HUB,SPO HUB,Y
11110,Khonkaen,NORTHEAST,Khon Kaen,40000,16.424713,102.81944,NE1,NE2,Y,Y,Y,N,N,Y,05. NE1,HYPERMARKET,SPO_HUB,SPO HUB,Y
11111,Korat,NORTHEAST,Nakhon Rajcha Sima,30000,14.981918,102.09188,NE2,NE3,Y,Y,Y,Y,N,Y,08. NE2,HYPERMARKET,SPO_HUB,SPO HUB,Y
11112,Suratthanee,SOUTHERN,Surat Thani,84000,9.148285,99.370255,South,South,Y,Y,Y,Y,N,Y,09. South,HYPERMARKET,SPO_HUB,SPO HUB,Y
11113,Pisanulok,CENTRAL,Phit Sanulok,65000,16.815767,100.28997,North,Central,Y,Y,N,N,N,Y,07. North,HYPERMARKET,NONHUB,OSX HUB(only),Y
11115,Rayong,EASTERN,Rayong,21000,12.699423,101.26881,East,East,Y,Y,N,N,N,Y,03. East,HYPERMARKET,NONHUB,OSX HUB(only),Y
11116,Rama2,BANGKOK,Bangkok,10150,13.661654,100.44065,BKK1,BKK2,N,N,N,N,N,Y,01. BKK1,HYPERMARKET,NONHUB,NONHUB,Y
